canonical_smiles,standard_value,label
O=C(O)CCCCCCCCN1C(=O)C=CC1=O,26000.0,1
Cn1sc(=O)n(Cc2ccccc2)c1=O,2000.0,0
C1=CCN(Cc2ccccc2)C1,100000.0,0
O=C([O-])Cc1cc(Cl)ccc1Nc1c(Cl)cccc1Cl.[Na+],794328234.72,1
O=C1Cc2c(oc3ccc(Br)cc23)-c2ccccc2N1,10000.0,0
CC(C)(C)c1cc(-c2cn3ncc(=O)nc3s2)cc(C(C)(C)C)c1O,25000.0,1
O=C1NC(=O)C(c2cnc3ccncn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,71.0,0
O=C1C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,55.0,0
CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,500.0,1
O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ncccc2N1,8.0,0
CC(=O)Oc1cc(N2C(=O)C=CC2=O)ccc1C(=O)O,300000.0,1
O=C(COC1=C(Br)C(c2ccccc2)OC1=O)NCc1ccccc1,10000.0,0
N#Cc1ccc(Nc2nccc(C(=O)Nc3cnccc3-c3ccc(F)cc3)n2)cc1,10.0,0
Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCn1ccnc1,10000.0,0
COc1cccc(-n2ncc3c(N/N=C/c4ccc(F)cc4)ncnc32)c1,7.943,0
O=C(O)Cc1ccccc1Nc1ccc(Cl)c(Cl)c1,7079457.84,1
COc1ccc(-c2cc3[nH]ccnc-3n2)cc1,1096.48,0
O=C1CCN(c2ccccc2)N1,94000.0,1
O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl,446683.59,1
CCn1cnc2ccc3nc(C(=N)OCc4ccccc4)sc3c2c1=O,170.0,0
CC(=O)O/N=C1/C(c2c(O)n(C)c3c(Cl)cccc23)=Nc2ccccc21,100000.0,0
Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCBr)c2cccc(Br)c21,10000.0,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2100.0,0
Cc1cc(/C=C/c2ccc(C(=O)O)cc2)cc(C)c1O,10000.0,1
CC(C)c1cc(/C=C/c2ccc(F)cc2)cc(C(C)C)c1O,10000.0,1
CO/N=C1/C(c2c(O)n(C)c3c(I)cccc23)=Nc2ccccc21,100000.0,0
Cc1cc(C(=O)c2cccs2)cc(C)c1O,1000.0,1
COc1ccc(Cl)c(Nc2ccccc2CC(=O)O)c1Cl,91201083.94,1
CC(C)(C)c1cc(/C=C/c2cccnc2)cc(C(C)(C)C)c1O,260.0,1
CCCCCCCCN1C(=O)C=CC1=O,9000.0,1
C(=N/Nc1ncnc2c1cnn2-c1ccccc1)\c1ccncc1,100.0,0
Cc1nn(-c2ccccc2)c(C)c1/C=C(\Br)C(=O)O,10000.0,0
Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21,10000.0,0
CCc1cc(/C=C/c2ccc(OC)cc2)cc(CC)c1O,10000.0,1
CC(=O)Oc1ccccc1C(=O)O,15000.0,1
O=C1Cc2c([nH]c3ccccc23)-c2ncccc2N1,800.0,0
CN1C(=O)C=CC1=O,5000.0,0
O=C1NC(Nc2ccccc2)=N/C1=C/c1ccc2c(c1)OCO2,410.0,0
CCN(CC)C(=O)O/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,10000.0,0
O=C1Cc2c(oc3ccc(Cl)cc23)-c2ccccc2N1,10000.0,0
Cc1cc(/C=C/c2ccc(Cl)cc2)cc(C)c1O,750.0,1
CCCc1cc(/C=C/c2cccs2)cc(OC)c1O,1300.0,1
CC(C)NC(=N)c1nc2ccc3ncn(C(C)C)c(=O)c3c2s1,9400.0,0
CC(C)c1cc(/C=C/c2cccnc2)cc(C(C)C)c1O,10000.0,1
O=C1C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,100000.0,0
CO/N=C1/C(c2c(O)n(C)c3c(F)cccc23)=Nc2ccccc21,100000.0,0
O=C1C=CC(=O)N1CCc1ccccc1,2000.0,0
Cn1sc(=O)n(-c2ccc(C(F)(F)F)cc2)c1=O,6000.0,0
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,5.0,0
CO[C@H]1CC[C@H](NC(=O)c2n[nH]cc2NC(=O)C2CCOCC2)CC1,8.0,0
Cc1cc(/C=C/c2ccc(F)cc2F)cc(C)c1O,710.0,1
COc1ccc(OCCn2nc3c(N)cccn3c2=O)cc1,50000.0,0
O=C([O-])Cc1ccccc1Nc1ccc(F)cc1F.[Na+],9772372.21,1
CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCCC1,38.0,1
Cc1cc(CCc2cccs2)cc(C)c1O,110.0,1
CNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1,300000.0,1
OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,478.0,0
Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCOCC1,100000.0,0
CNc1nc2c(C)c(Cc3cccnc3)c(O)c(C)c2s1.Cl.Cl,100000.0,1
Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1,318.0,0
CC(=O)O/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,330.0,0
C=C(C)[C@H]1Cc2c(CCc3ccccc3)cc(O)c(O)c2O1,26200.0,1
O=C1OC(c2ccccc2)C(I)=C1O,10000.0,0
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCNCc1ccc2c(c1)OCCO2,10000.0,0
Cc1cc(/C=C/c2cccs2)cc(F)c1O,1000.0,1
O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1ccc2c(c1)OCO2,27.0,0
O=C1CCN(c2ccccc2)N1,12000.0,1
Cc1cc(/C=C/c2csc3ccccc23)cc(C)c1O,400.0,1
Cc1cc(/C=C/c2cc(F)cc(F)c2)cc(C)c1O,1000.0,1
O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2cc(Br)ccc12,120.0,0
O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(Nc2ccc(F)cc2)n1,34.0,0
CC(C)(C)c1cc(/C=C/c2cccnc2)cc(C(C)(C)C)c1O,670.0,1
NC1=NN(c2cccc(C(F)(F)F)c2)CC1,97000.0,1
Cc1ccc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1,10000.0,1
Oc1cc2cc(c1O)Oc1ccc(cc1)CCc1ccc(O)c(O)c1Oc1cccc(c1)CC2,55900.0,1
NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1,36000.0,1
O=C1CNC(=O)N1Cc1ccccc1,100000.0,0
Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCn1ccnc1,9000.0,0
CCCC/C(=C\c1cc(C)c(O)c(C)c1)c1ccc(F)cc1,1000.0,1
O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,5000.0,0
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc([N+](=O)[O-])cc1,100000.0,0
Cc1cc(/C=C/c2ccsc2)cc(C)c1O,10000.0,1
Nc1n[nH]c2ncc(-c3ccccc3)cc12,430.0,0
O=c1[nH]c2ccccc2nc1/C(Cl)=C/c1ccc(Cl)cc1,10000.0,0
O=C1C(c2c(O)[nH]c3c(I)cccc23)=Nc2ccccc21,100000.0,0
Cc1cc(CCC(=O)c2ccc(F)cc2)cc(C)c1O,10000.0,1
COc1ccc(/C=C/c2cc(C(C)C)c(O)c(C(C)C)c2)cc1,10000.0,1
Cc1cc(/C=C/C(=O)c2cccs2)cc(C)c1O,10000.0,1
N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccc(Br)nc1-3,3800.0,0
N#Cc1ccc(Nc2nccc(C(=O)Nc3cnccc3OCC(F)(F)F)n2)cc1,1.4,0
NC1=NN(c2cccc(C(F)(F)F)c2)CC1,5800.0,1
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1400.0,0
C(=N/Nc1ncnc2c1cnn2-c1cccc2[nH]cnc12)\c1ccncc1,3.981,0
Cc1cc(/C=C/C(=O)c2ccc(F)cc2)cc(C)c1O,10000.0,1
Cc1cc(O)c(C)c2sc(NCc3cccnc3)nc12,100000.0,1
COc1ccc(/C=C/c2cc(C)c(O)c(C)c2)cc1,1500.0,1
Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2cccc(Cl)c21,100000.0,0
COc1cccc(OC)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCCCCC1,20.0,0
CC(=O)Oc1ccc(N2C(=O)C=CC2=O)cc1C(=O)O,29000.0,1
O=c1[nH]c2ccccc2nc1/C(I)=C/c1ccc(Cl)cc1,10000.0,0
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,50000.0,1
COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CC(C)(C)CC1=O,50.0,1
Cc1cc(/C=C/c2ccc(Cl)s2)cc(C)c1O,1300.0,1
Oc1ccc2c(c1)CCc1ccc(cc1)Oc1cc(ccc1O)CCc1ccc-2c(O)c1,53500.0,1
CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,912.01,0
Oc1cc2cc(c1O)Oc1ccc(cc1)CCc1cccc(O)c1Oc1cccc(c1)CC2,46400.0,1
Cc1c(O)c(C)c2sc(NCc3cccnc3)nc2c1C,100000.0,1
COc1cc(/C=C/c2cccs2)cc(OC)c1O,10000.0,1
CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,5.7,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cc(F)cc1Cl.[Na+],891250938.13,1
CC(C)(C)c1cc(/C=C2/SC(N)=NC2=O)cc(C(C)(C)C)c1O,390.0,1
Cl.Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCOCC2)c2cccc(Br)c21,10000.0,0
CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCCC1=O,23.0,1
Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,1905.46,0
Cc1cc(C)c(C)c(Nc2ccc(Cl)cc2CC(=O)O)c1C,15135612.48,1
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(Nc2ccc(Cl)cc2)c1,1650.0,0
CCn1cnc2ccc3nc(C(=N)OCCc4ccccc4)sc3c2c1=O,300.0,0
CCOC(=O)CN1C(=O)C=CC1=O,3000.0,0
CCNc1nc2c(C)c(Cc3cccnc3)c(O)c(C)c2s1,100000.0,1
CO[C@H]1CC[C@H](NC(=O)c2n[nH]cc2NC(=O)Cc2c(Cl)cccc2Cl)CC1,200.0,0
COc1cc2nc(NCc3cccnc3)sc2c(OC)c1O,100000.0,1
COc1ccc(C2OC(=O)C(O)=C2I)cc1OC,10000.0,0
O=C(O)Cc1ccccc1Nc1cccc(Cl)c1Cl,100000000.0,1
CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1,3700.0,0
O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,45.0,0
CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,13.0,0
O=C1C(c2c(O)[nH]c3ccc(I)cc23)=Nc2ccccc21,68.0,0
O=C1C=CC(=O)N1CCCCCc1ccccc1,3000.0,0
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,7079457.84,1
Cc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,1698.24,0
COc1ccc2c(c1)c1c(n2S(=O)(=O)c2ccc(Cl)cc2)CC(C)(C)CC1=O,41.0,1
O=C1CSC(=S)N1,100000.0,0
Cn1sc(=O)n(-c2ccccc2Br)c1=O,6000.0,0
CCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,4200.0,0
O=C(O)CN1C(=O)CSC1=S,100000.0,0
Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,25.0,0
O=C(O)CCCCCCCN1C(=O)C=CC1=O,100.0,1
COc1cc(/C=C/c2cccs2)cc(C)c1O,3100.0,1
CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,6.0,0
COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1O,3388441.56,1
Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12,524.81,0
CCN(CC)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,10000.0,0
O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,1000.0,0
CC(C)(C)c1cc(/C=C/c2ccc(F)cc2)cc(C(C)(C)C)c1O,610.0,1
CC(C)(C)c1cc(/C=C/c2cccs2)cc(C(C)(C)C)c1O,34.0,1
COc1ccccc1/C=C/c1cc(C)c(O)c(C)c1,1100.0,1
O=C(O)CCCCCN1C(=O)C=CC1=O,800000.0,1
Cc1ccc(/C=C/c2cc(C)c(O)c(C)c2)s1,780.0,1
O=C1OC(c2ccc(Cl)cc2)C(Br)=C1O,10000.0,0
O=C([O-])Cc1cc(F)ccc1Nc1c(Cl)cc(F)cc1Cl.[Na+],562341325.19,1
COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1C1CCCCC1,10000.0,0
CC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,1.9,0
CN(O)C(=O)/C=C/c1cccc(Oc2ccccc2)c1,5000.0,1
CCn1sc(=O)n(-c2ccc([N+](=O)[O-])cc2)c1=O,8500.0,0
CO/N=C1/C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,30.0,0
Cc1cc(Cc2cccnc2)cc(C)c1O,10000.0,1
Cc1cc(NCCCc2ccnc(Cl)c2)c2n[nH]c(=O)n2c1.Cl,774.0,0
CS(=O)(=O)c1ccc2c(c1)c1c(n2Cc2ccc(Cl)cc2)CCCC1,27.0,1
O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CNCC2,60.0,0
O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(Nc2ccccc2)n1,35.0,0
Cn1sc(=O)n(-c2cccc(Br)c2)c1=O,4000.0,0
Cn1c(O)c(C2=Nc3ccccc3C2=O)c2cccc(Br)c21,100000.0,0
Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCOCC1,570.0,0
O=C1C(c2c(O)[nH]c3cc(Cl)c(Cl)cc23)=Nc2ccccc21,30.0,0
Cl.O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\OCCN(CCO)CCO,320.0,0
Cc1cc(/C=C/c2cccs2)cc(Cl)c1O,230.0,1
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,130000.0,1
O=C1C=CC(=O)O1,100000.0,0
CO/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,440.0,0
O=C1CCC(=O)C1,100000.0,0
CCc1cccc(CC)c1Nc1ccccc1CC(=O)O,14791083.88,1
CC(C)[C@H](N)C(=O)OC[C@H](O)CNc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1.Cl,10000.0,0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1I,501187233.63,1
Nc1n[nH]c2nnc(-c3ccccc3)cc12,530.0,0
CCc1cc(/C=C/c2ccc(C)cc2)cc(CC)c1O,10000.0,1
CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N[C@@H]3CCC[C@H](O)[C@@H]3O)nc21,10000.0,0
Cc1cc(/C=C/c2ccccc2OCc2ccccc2)cc(C)c1O,1000.0,1
Cc1cc(CCc2ccc(F)cc2)cc(C)c1O,300.0,1
O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,14125375.45,1
O=C([O-])Cc1c(O)cccc1Nc1c(Cl)cccc1Cl.[Na+],4677351.41,1
COc1ccc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1,10000.0,1
CN(C)CCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,10000.0,0
COc1ccc(CCN2C(=O)C=CC2=O)cc1,3000.0,0
CO[C@H]1CC[C@H](NC(=O)c2n[nH]cc2NC(=O)c2ccc(-c3ccccc3)o2)CC1,5.0,0
C[C@]12COc3cc(CCc4ccccc4)c(C(=O)O)c(O)c3[C@H]1C2,39700.0,1
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCNCc1ccc2c(c1)OCO2,10000.0,0
Cc1cc(/C=C/c2ccncc2)cc(C)c1O,10000.0,1
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCCO2,38000.0,0
CC(C)Cn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,4600.0,0
Cc1nc(-c2ccc(Cl)cc2)oc1COC(C)(C)C(=O)O,6500000.0,1
CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,44000.0,1
O=C1C=CC(=O)N1Cc1ccccc1,1000.0,0
CS(=O)(=O)c1ccc2c(c1)c1c(n2Cc2ccc(Cl)cc2)CCCC1=O,33.0,1
CCc1cc(/C=C/c2cccs2)cc(OC)c1O,1400.0,1
O=C(O)CCCCCCCCCN1C(=O)C=CC1=O,37000.0,1
Cc1c(Cl)cccc1Nc1ccccc1CC(=O)O,91201083.94,1
Cn1c(N2CCO[C@@H](c3ccc(F)cc3)C2)nc(-c2ccncn2)cc1=O,12.0,0
O=C(O)Cc1ccccc1Nc1cc(Cl)cc(Cl)c1,12589254.12,1
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(Nc2ccc(Cl)cc2)n1,70.0,0
CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Br)ccc32)/Nc2ccccc2/1,10.0,0
O=C([O-])Cc1cc(F)ccc1Nc1c(Cl)cccc1Cl.[Na+],741310241.3,1
Cc1cccc(C)c1Nc1ccccc1CC(=O)O,165958690.74,1
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,53.5,1
O=C1Nc2cc(Cl)c(Cl)cc2/C1=C1/Nc2ccccc2/C1=N\O,4.0,0
Cc1cc(/C=C/c2ccccn2)cc(C)c1O,2500.0,1
O=C(Nc1cnccc1OCC(F)(F)F)c1ccnc(Nc2ccccc2)n1,13.0,0
CCCCCCCCCCN1C(=O)C=CC1=O,14000.0,1
CC(=O)N(O)Cc1ccc(OCc2ccccc2)cc1,22000.0,1
CCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,1819.7,0
COc1ccc2[nH]c3c(=O)[nH]nc(-c4ccccc4)c3c2c1,1300.0,0
NC1=NN(c2cccc(C(F)(F)F)c2)CC1,12000.0,1
Cc1ccc(/C=C/c2cc(C)c(O)c(C)c2)cc1,3200.0,1
O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1Cl,71000.0,1
Cc1nn(-c2ccccc2)c(C)c1/C=C(\I)c1nc2ccccc2[nH]c1=O,10000.0,0
COc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,1096.48,0
O=C(O)Cc1ccccc1Nc1c(Cl)ccc(O)c1Cl,100000000.0,1
Fc1ccc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)cc1,630.96,0
O=C(O)C(=O)/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1,10000.0,0
COc1cc(/C=C/C(=O)c2ccccc2O)ccc1O,63000.0,1
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,41.0,0
Cc1ccc(Cl)c(Nc2ccccc2CC(=O)[O-])c1Cl.[Na+],70794578.44,1
CCc1ccc(/C=C/c2cc(C)c(O)c(C)c2)cc1,510.0,1
O=C(Nc1cncnc1OCC(F)(F)F)c1ccnc(Nc2ccccc2)n1,77.0,0
O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ncccc2N1,800.0,0
Cc1ccc(C)c(/C=C/c2cc(C)c(O)c(C)c2)c1,1300.0,1
O=C(Cn1c(=O)n(-c2ccccc2)c(=O)n1CC(=O)c1ccccc1)c1ccccc1,100000.0,0
O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1O,44000.0,1
O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,22.0,0
COc1ccc2c(c1)c1c(n2Cc2ccc(Cl)cc2)CC(C)(C)CC1=O,44.0,1
Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,800.0,0
O=C1Cc2c(n3c4c(cccc24)CC3)-c2ncccc2N1,410.0,0
Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccc(Br)cc21,100000.0,0
CC(C)CCN1C=Nc2ccc3nc(C#N)sc3c2C1,50000.0,0
COc1ccc(CN2C(=O)CSC2=S)cc1,65000.0,0
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,15000.0,0
Oc1ccc(-c2cn3cc(Cl)ccc3n2)cc1,10000.0,0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3500.0,0
CN(C)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21.Cl,10000.0,0
COC1Cc2cccc(c2)Oc2c(O)cccc2CCc2ccc(cc2)Oc2cc1cc(O)c2O,58000.0,1
Cc1cc(/C=C/c2ccc(C(C)C)cc2)cc(C)c1O,1400.0,1
O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1ccc2c(c1)COC2,83.0,0
CN1C[C@@H](c2cccc(OCc3ccc4ccccc4n3)c2)OC1=O,100000.0,1
Cc1cc(/C=C2\CCOC2=O)cc(C)c1O,10000.0,1
O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,270.0,0
Cc1c(O)c(Cc2cccnc2)c2sc(N)nc2c1C.Cl.Cl,100000.0,1
O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,310.0,0
CCNc1nc2c(C)c(C)c(O)c(Cc3cccnc3)c2s1,100000.0,1
CC(C)(C)c1cc(-c2n[nH]c(=S)s2)cc(C(C)(C)C)c1O.C[N+](C)(C)CCO,800.0,1
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,800.0,0
CCNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1.Cl.Cl,100000.0,1
O=C1NC(=O)C(c2cnc3ncccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,1.7,0
CS(=O)(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)c2ccc(Cl)cc2)CCCC1=O,34.0,1
