molecule_chembl_id,target_chembl_id,canonical_smiles,protein,label,standard_value,pchembl_value
CHEMBL102714,CHEMBL2095188,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,COX1,0,54.5,7.2636034977233574
CHEMBL1076156,CHEMBL2095188,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCC2,COX1,0,15000.0,4.823908740944319
CHEMBL1081243,CHEMBL2095188,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCN,COX1,0,1400.0,5.853871964321762
CHEMBL1081244,CHEMBL2095188,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccccc1,COX1,0,7000.0,5.154901959985743
CHEMBL1081557,CHEMBL2095188,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCCO2,COX1,0,38000.0,4.42021640338319
CHEMBL1081558,CHEMBL2095188,COc1ccc(/C=N/CCNC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2C)cc1,COX1,0,7300.0,5.136677139879544
CHEMBL1081757,CHEMBL2095188,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCO2,COX1,0,860.0,6.0655015487564325
CHEMBL111433,CHEMBL2095188,Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,COX1,0,431.0,6.3655227298392685
CHEMBL111624,CHEMBL2095188,COc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,COX1,0,800.0,6.096910013008056
CHEMBL114396,CHEMBL2095188,COc1ccc2c(c1)C(=O)C(c1[nH]c3ccc(OC)cc3c1O)=N2,COX1,0,6000.0,5.221848749616356
CHEMBL117,CHEMBL2095188,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,COX1,0,7200.0,5.142667503568732
CHEMBL120077,CHEMBL2095188,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,COX1,0,13000.0,4.886056647693163
CHEMBL122334,CHEMBL2095188,O=C1CNC(=O)N1,COX1,0,100000.0,4.0
CHEMBL1234004,CHEMBL2095188,[Li+],COX1,0,2000000.0,2.6989700043360187
CHEMBL1242830,CHEMBL2095188,CN1CCN(c2ccc(NCCNc3ccc([N+](=O)[O-])c(N)n3)nc2-c2ccc(Cl)cc2Cl)C(=O)C1,COX1,0,4.0,8.397940008672037
CHEMBL126077,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,COX1,0,22.0,7.657577319177793
CHEMBL1276127,CHEMBL2095188,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,COX1,0,1000.0,6.0
CHEMBL14762,CHEMBL2095188,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,COX1,0,95000.0,4.022276394711152
CHEMBL150,CHEMBL2095188,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COX1,0,3500.0,5.455931955649724
CHEMBL151,CHEMBL2095188,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,COX1,0,800.0,6.096910013008056
CHEMBL157999,CHEMBL2095188,O=C1CNC(=O)N1Cc1ccccc1,COX1,0,100000.0,4.0
CHEMBL170138,CHEMBL2095188,CO/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,COX1,0,150.0,6.823908740944319
CHEMBL170347,CHEMBL2095188,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2cc(Br)ccc21,COX1,0,4500.0,5.346787486224656
CHEMBL170640,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)[nH]c2ccccc12,COX1,0,7.0,8.154901959985743
CHEMBL172540,CHEMBL2095188,O=C1C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,COX1,0,650.0,6.187086643357144
CHEMBL172547,CHEMBL2095188,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,COX1,0,6.0,8.221848749616356
CHEMBL173040,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3cc(Cl)ccc23)[nH]c2ccccc12,COX1,0,20.0,7.698970004336019
CHEMBL173178,CHEMBL2095188,Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,COX1,0,25.0,7.6020599913279625
CHEMBL173445,CHEMBL2095188,O=C1C(c2c(O)[nH]c3ccc(I)cc23)=Nc2ccccc21,COX1,0,68.0,7.167491087293763
CHEMBL173682,CHEMBL2095188,O=C1C(c2c(O)[nH]c3ccc(Br)cc23)=Nc2ccccc21,COX1,0,55.0,7.259637310505756
CHEMBL173690,CHEMBL2095188,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2ccc(Br)cc21,COX1,0,350.0,6.455931955649724
CHEMBL174025,CHEMBL2095188,O=C1C(c2c(O)[nH]c3ccc([N+](=O)[O-])cc23)=Nc2ccccc21,COX1,0,42.0,7.376750709602099
CHEMBL174068,CHEMBL2095188,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,COX1,0,17.0,7.769551078621726
CHEMBL174292,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3cc(F)ccc23)[nH]c2ccccc12,COX1,0,130.0,6.886056647693163
CHEMBL174343,CHEMBL2095188,O=C1C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,COX1,0,55.0,7.259637310505756
CHEMBL174612,CHEMBL2095188,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c(C)cc23)=Nc2ccccc21,COX1,0,7.0,8.154901959985743
CHEMBL175053,CHEMBL2095188,C=Cc1ccc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2c1,COX1,0,240.0,6.619788758288394
CHEMBL175155,CHEMBL2095188,Cc1cc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2cc1Br,COX1,0,6.0,8.221848749616356
CHEMBL176676,CHEMBL2095188,O=C1C(c2c(O)[nH]c3ccc(Br)cc23)=Nc2ccc(Br)cc21,COX1,0,250.0,6.6020599913279625
CHEMBL176896,CHEMBL2095188,CC(=O)O/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,COX1,0,200.0,6.698970004336019
CHEMBL176904,CHEMBL2095188,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,COX1,0,45.0,7.346787486224656
CHEMBL177146,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3cc(I)ccc23)[nH]c2ccccc12,COX1,0,10.0,8.0
CHEMBL177688,CHEMBL2095188,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,COX1,0,478.0,6.320572103387881
CHEMBL178237,CHEMBL2095188,O=C1NC(=O)C(c2cnc3ccncn23)=C1c1cn2c3c(cccc13)CNCC2,COX1,0,330.0,6.481486060122113
CHEMBL178306,CHEMBL2095188,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncnc2nn3ccccc3c12,COX1,0,158.0,6.801342913045577
CHEMBL178488,CHEMBL2095188,O=C(Nc1ccc(Br)cc1)Nc1ncnc2nn3ccccc3c12,COX1,0,1000.0,6.0
CHEMBL178645,CHEMBL2095188,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2sccc12,COX1,0,34.0,7.468521082957745
CHEMBL178646,CHEMBL2095188,O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,COX1,0,2.1,8.67778070526608
CHEMBL178737,CHEMBL2095188,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,COX1,0,1.3,8.886056647693163
CHEMBL178766,CHEMBL2095188,O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,COX1,0,0.8,9.096910013008056
CHEMBL178820,CHEMBL2095188,O=C1NC(=O)C(c2cn3c4c(cccc24)CNCC3)=C1c1cccc2c1OCC2,COX1,0,3.3,8.481486060122112
CHEMBL178850,CHEMBL2095188,CN(C)C(=O)N1CCn2cc(C3=C(c4cccc5ccoc45)C(=O)NC3=O)c3cccc(c32)C1,COX1,0,2.7,8.568636235841012
CHEMBL178851,CHEMBL2095188,O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,COX1,0,2.1,8.67778070526608
CHEMBL178953,CHEMBL2095188,N#Cc1cccc(NC(=O)Nc2ncnc3nn4ccccc4c23)c1,COX1,0,126.0,6.899629454882437
CHEMBL179224,CHEMBL2095188,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ncnc2nn3ccccc3c12,COX1,0,1580.0,5.801342913045577
