molecule_chembl_id,target_chembl_id,pchembl_value,canonical_smiles,protein
CHEMBL102714,CHEMBL2095188,7.47,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,COX1
CHEMBL1076156,CHEMBL2095188,4.82,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCC2,COX1
CHEMBL1081243,CHEMBL2095188,5.85,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCN.Cl,COX1
CHEMBL1081244,CHEMBL2095188,5.16,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccccc1,COX1
CHEMBL1081557,CHEMBL2095188,4.42,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCCO2,COX1
CHEMBL1081558,CHEMBL2095188,5.14,COc1ccc(/C=N/CCNC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2C)cc1,COX1
CHEMBL1081757,CHEMBL2095188,6.07,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCC/N=C/c1ccc2c(c1)OCO2,COX1
CHEMBL111433,CHEMBL2095188,7.21,Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,COX1
CHEMBL111624,CHEMBL2095188,6.1,COc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,COX1
CHEMBL114396,CHEMBL2095188,5.22,COc1ccc2c(c1)C(=O)C(c1[nH]c3ccc(OC)cc3c1O)=N2,COX1
CHEMBL117,CHEMBL2095188,5.14,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,COX1
CHEMBL120077,CHEMBL2095188,4.89,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,COX1
CHEMBL122334,CHEMBL2095188,4.0,O=C1CNC(=O)N1,COX1
CHEMBL1242830,CHEMBL2095188,8.4,CN1CCN(c2ccc(NCCNc3ccc([N+](=O)[O-])c(N)n3)nc2-c2ccc(Cl)cc2Cl)C(=O)C1,COX1
CHEMBL126077,CHEMBL2095188,7.66,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,COX1
CHEMBL1276127,CHEMBL2095188,6.0,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,COX1
CHEMBL14762,CHEMBL2095188,4.22,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,COX1
CHEMBL150,CHEMBL2095188,5.46,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COX1
CHEMBL151,CHEMBL2095188,6.1,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,COX1
CHEMBL157999,CHEMBL2095188,4.0,O=C1CNC(=O)N1Cc1ccccc1,COX1
